レイヤー,データ/API名,提供元,分野,形式,API有無,認証,粒度,入手難度,過去使用実績,戦略メモ
①東京都API,東京都オープンデータAPI（78199件）,東京都各局・区市町村,全分野,JSON/XML,あり,不要,データによる,即日,-,登録不要で即使える最大の武器。POST方式
①東京都API,東京都防災マップ避難所・避難場所一覧,総務局,防災,JSON/XML,あり,不要,地点,即日,-,防災テーマの起点
①東京都API,震度分布・液状化（首都直下型地震被害想定）,総務局,防災,JSON/XML,あり,不要,メッシュ,即日,-,井原委員の関心領域
①東京都API,地下鉄各駅乗降人員一覧,交通局,交通,JSON/XML,あり,不要,駅,即日,-,人流の代理指標として使える
①東京都API,都営バス運賃（普通運賃）,交通局,交通,JSON/XML,あり,不要,路線,即日,-,ODPTと結合
①東京都API,東京都卸売市場日報（青果）,中央卸売市場,産業,JSON/XML,あり,不要,品目日次,即日,-,フードロス系に使える
①東京都API,新型コロナウイルス陽性患者発表詳細,保健医療局,健康・医療,JSON/XML,あり,不要,日次,即日,-,更新停止済み
①東京都API,デジタル化に関する個人及び事業者の実態調査,デジタルサービス局,生活,JSON/XML,あり,不要,調査単位,即日,-,デジタル格差の根拠に
②東京都カタログ,行財政（3891件）,東京都各局,行財政,CSV他,CKAN,不要,事業単位,即日,エクセル見比べ隊,行政コスト削減の根拠が眠る。競合が触らない
②東京都カタログ,くらし・住まい（1141件）,東京都各局,生活,CSV他,CKAN,不要,各種,即日,-,ペルソナを立てやすい
②東京都カタログ,子供・若者・教育（827件）,東京都各局,教育,CSV他,CKAN,不要,各種,即日,育児OD/よちヨチ,受賞多数＝競合多い
②東京都カタログ,インフラ・まちづくり（806件）,東京都各局,都市,CSV他,CKAN,不要,地理,即日,路上工事情報,地理空間と相性◎
②東京都カタログ,産業・仕事（708件）,東京都各局,産業,CSV他,CKAN,不要,各種,即日,-,ビジネス寄り提案に
②東京都カタログ,高齢者・福祉（703件）,東京都各局,福祉,CSV他,CKAN,不要,各種,即日,CareHub/風ぐるま,2025年に受賞3件集中
②東京都カタログ,環境・自然（622件）,東京都各局,環境,CSV他,CKAN,不要,各種,即日,樹木マップ/Tree Debuggers,2025年に受賞2件
②東京都カタログ,健康・医療（524件）,東京都各局,医療,CSV他,CKAN,不要,各種,即日,-,命直結。未受診・重症化予防は空白地帯
②東京都カタログ,文化・芸術（471件）,東京都各局,文化,CSV他,CKAN,不要,各種,即日,-,都知事杯実績なし
②東京都カタログ,防災（432件）,東京都各局,防災,CSV他,CKAN,不要,各種,即日,みえるーむ/渋谷歪譚,井原委員の被災体験という追い風
②東京都カタログ,水道・下水道（211件）,東京都各局,インフラ,CSV他,CKAN,不要,各種,即日,-,ニッチだが差別化余地
②東京都カタログ,観光（206件）,東京都各局,観光,CSV他,CKAN,不要,各種,即日,-,都知事杯実績なし
②東京都カタログ,スポーツ（114件）,東京都各局,スポーツ,CSV他,CKAN,不要,各種,即日,-,行動変容と相性良いが命から遠い
②東京都カタログ,デジタル・最新技術（95件）,東京都各局,デジタル,CSV他,CKAN,不要,各種,即日,東京都公式MCP基盤,メタ提案向け
②東京都カタログ,交通（79件）,東京都各局,交通,CSV他,CKAN,不要,各種,即日,交通量統計表,件数最少だが受賞頻出。ODPTと組む前提
②東京都カタログ,東京都統計年鑑,東京都,統計,CSV,CKAN,不要,都・区市町村,即日,Animal GO,基礎統計の定番
③国・広域,PLATEAU 3D都市モデル,国土交通省,都市,CityGML/3DTiles/GeoJSON,あり,不要,建物単位,即日,熱中症リスク/北風と太陽,23区全部＋26市町村。田村委員の会社が基盤開発
③国・広域,国土数値情報,国土交通省,地理,Shape/GeoJSON,なし,不要,地点・区域,即日,-,避難施設/医療機関/学校/浸水想定/用途地域/公示地価
③国・広域,e-Stat 国勢調査 小地域統計,総務省統計局,統計,CSV/API,あり,要ID登録（無料）,町丁目,即日,-,結合キーの本命。町丁目粒度が取れる
③国・広域,jSTAT MAP,総務省統計局,統計,Web,なし,要登録,町丁目,即日,-,小地域統計の地図表示
③国・広域,不動産情報ライブラリ,国土交通省,不動産,API,あり,要申請・審査,取引単位,数日〜,-,7月中に申請必須。取引価格/地価/ハザード
③国・広域,気象庁 防災情報XML・アメダス,気象庁,気象,XML/JSON,あり,不要,地点,即日,熱中症リスク,リアルタイム要素の定番
③国・広域,交通事故統計オープンデータ,警察庁,交通,CSV,なし,不要,地点,即日,北風と太陽,位置情報付き事故データ
③国・広域,医療機関・介護事業所公表システム,厚生労働省,医療,CSV/Web,一部,不要,事業所,即日,-,福祉テーマの基礎
③国・広域,地理院タイル・標高API,国土地理院,地理,タイル/API,あり,不要,地点,即日,YORUMICHI/北風と太陽,地図背景の定番
③国・広域,アドレス・ベース・レジストリ,デジタル庁,住所,CSV,一部,不要,住所,即日,-,住所正規化の基盤
③国・広域,gBizINFO・法人番号,デジタル庁/国税庁,事業者,API,あり,一部要登録,法人,即日,-,事業者向け施策に
③国・広域,G空間情報センター,社会基盤情報流通推進協議会,地理,各種,一部,一部要登録,各種,即日〜,PLATEAU配布元,地理空間データのハブ
④公共交通,ODPT 公共交通OD（352データセット）,公共交通OD協議会,交通,JSON/GTFS/PB,あり,要登録（無料）,便・停留所,即日〜,-,7月中に登録推奨
④公共交通,GTFS・GTFS-JP（109件）,各交通事業者,交通,GTFS,-,要登録,便・停留所,即日〜,-,時刻表・路線の静的データ
④公共交通,GTFS-RT（Protocol Buffers 47件）,各交通事業者,交通,protobuf,あり,要登録,リアルタイム,即日〜,-,リアルタイム運行。差別化要素になる
④公共交通,東京都交通局データ（19件）,東京都交通局,交通,各種,あり,要登録,路線・駅,即日〜,-,ODPT内で最多
④公共交通,東京メトロ（10件）,東京メトロ,交通,各種,あり,要登録,路線・駅,即日〜,-,-
④公共交通,JR東日本（8件）,JR東日本,交通,各種,あり,要登録,路線・駅,即日〜,-,-
⑤区市町村,自治体標準オープンデータセット,デジタル庁/各自治体,横断,CSV,なし,不要,施設単位,即日,エクセル見比べ隊,AED/介護/医療/避難所/子育て/公衆トイレ等
⑤区市町村,62区市町村の独自カタログ,各自治体,横断,CSV他,一部,不要,各種,即日,風ぐるま（千代田区）,自治体単位の課題に刺さる
⑥民間,GBFS シェアサイクル,ドコモ・バイクシェア/HELLO CYCLING,交通,GBFS,あり,不要（ODPT経由）,ステーション,即日,-,ステーション位置と利用可能台数がリアルタイム
⑥民間,OpenStreetMap / Overpass API,OSM,地理,JSON/XML,あり,不要,POI,即日,-,街灯 highway=street_lamp 等が取れる
⑥民間,iNaturalist,iNaturalist,生物,画像/API,あり,不要,個体,即日,Animal GO,CC-0/CC-BY。AI学習用に使用実績
⑥民間,Wikipedia / Wikidata,Wikimedia,横断,API,あり,不要,エンティティ,即日,-,施設メタデータの補完
⑥民間,LLM API（Claude等）,各社,AI,API,あり,要APIキー,-,即日,多数,2025年は主催がClaudeクレジット配布
⑥民間,Google Maps Platform,Google,地図,API,あり,要クレカ,地点,即日,-,従量課金に注意
⑥民間,Mapbox / MapTiler,各社,地図,API,あり,要登録,地点,即日,-,無料枠あり
⑥民間,人流データ（Agoop/KDDI LA/ドコモ空間統計/unerry）,各社,人流,各種,一部,法人契約,メッシュ,実質不可,YORUMICHI（出所未確認）,8月本番では間に合わない。代替を用意すべき
